开放世汉词典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［世界语］	［中文］
datreveno	周年纪念日
datumo	资讯
daŭra	持久的
daŭri	继续
daŭrigi	继续
daŭrigota	待续
daŭro	长短
dazipedo	犰，犰狳，狳
dazipo	犰，犰狳，狳
de	从
de la komuna erao 	西元
debati	辩论
decembro	十二月
decidi	决定
decido	决定
Dedalo	代达罗斯
defendanto	辨护人
defii	挑战
defio	挑战
defluiga tubo	输水管
dek	十
dek du	十二
dek kvar	十四
dek kvin	十五
dek kvin minutoj	十五分钟
dek mil	一万，万
dek miliardo	一百亿，百亿
dek miliono	一千万，千万
dek minutoj	十分钟
dek naŭ	十九
dek ok	十八
dek sep	十七
dek ses	十六
dek tri	十三
dek unu	十一
dek-dua	第十二
dek-kvara	第十四
dek-kvina	第十五
dek-naŭa	第十九
dek-oka	第十八
dek-sepa	第十七
dek-sesa	第十六
dek-tria	第十三
dek-unua	第十一
deka	第十
dekfoje	十次
deklari	表示
deklaro	声明
deklinaciebla	可以变化词尾，可以变格
deklinacio	格变化
dekoble	十倍
dekono	十分之一
Deksesa-Reĝlandoj	十六国
dekstre-maldekstre	左右
dekstro kaj maldekstro	左右
delfeno	海豚
deltoida muskolo	三角肌
deltoido	三角肌
demanda frazo	疑问句
demanda partikulo	疑问助词
demandi	问，询问，查询
demando	问题
demandvorto	疑问词
Demetera	得墨忒耳
demokratio	民主
demono	魔鬼
demonstrativo	指示代词，指示词
demonstri	示范
denove	再
densigi	浓缩
dentego	长牙，獠牙
dentisto	牙医
dento	牙齿，牙，齿
dentobroso	牙刷
dentokarno	牙床，齿龈，龈，牙龈
dentokrono	齿冠
dentopasto	牙膏
dentopikilo	牙签
dentoradiko	齿根
dentpikilo	牙签
dentrado	齿轮
deoksiribonuklea acido	脱氧核糖核酸，去氧核糖核酸
dependi de	依靠
deprimita	沮丧
destino	命运，命
detala	详细
detalo	细节
detektivo	侦探
detrui	毁灭
devena de	来自
deveni	来自，来源于，起源于
deveni de	来自，出生于
deveni el	来自
deveno	来源，起源
deverŝi	倒掉，滤掉
devi	必须，应该
devigi	逼迫
devizo	座右铭
devo	义务
devus	该，应，应该
dezerto	沙漠
deziregi	渴望
deziro	欲望，愿望
diafragmo	横隔膜
dialekto	方言
dialogo	会话
Diana	狄安娜
diantfloro	康乃馨，荷兰石竹，荷兰石竹花，康乃馨花
dianto	荷兰石竹，康乃馨，荷兰石竹花，康乃馨花
dieto	饮食
diferenco	差别
difinita artikolo	定词
difino	定义
diftongo	复合元音，双元音，复元音，双母音
digesta sistemo	消化系统
digesti	消化
digesto	消化
digno	尊严
dika	厚，粗
dika intesto	大肠
dikega	肥胖
dikfingro	大拇指
diktatoro	独裁
dimanĉo	星期日，星期天，日，礼拜天，礼拜日，周日
dinastio	朝代
Dinastio Ĉin	秦，秦朝
Dinastio Ĉing	清，清朝
Dinastio Ĝin	金，金朝
Dinastio Ĝoŭ	周，周朝
Dinastio Han	汉，汉朝
Dinastio Jŭan	元朝，元
Dinastio Ljaŭ	遼，辽
Dinastio Ming	明，明朝
Dinastio Ŝang	商，商朝
Dinastio Ŝja	夏，夏朝
Dinastio Song	宋朝，宋
Dinastio Suej	隋朝，隋
Dinastio Tang	唐朝，唐
dinosaŭro	恐龙
Dio	上帝
dioneo	捕蝇草
Dionizo	狄俄尼索斯
diplomiĝi	毕业
diplomo	文凭
direktanto	主任
direkti	指导
direktoro	主任
diri	告诉，表示，说
diserigebla	生物降解的，生物能分解的
diserigi	瓦解，分解
disfali	倒塌，崩溃
diskonto	折扣
diskuti	商量
disprozio	镝
disputi	争论，吵架
disrompi	打碎
distanco	距离
distingi	辨认，辨别
distrita	分心
disverŝi	溢出，流出
diveni	猜想
diversa	种种，综合
diversaj	各种
dividi	分开
DNA	脱氧核糖核酸，去氧核糖核酸
do	所以，那么
dogano	海关
doktoro	博士
dokumenta filmo	纪录片
dokumento	文件
dolĉa	甜
dolĉa gusto	甜味
dolora	痛，疼
dolorigi	伤害
doloro	痛，痛苦，疼痛
domego	豪宅
dometo	别墅
domo	房子，房
donacema	慷慨
donaco	礼物
doni	给
doni al iu telefonvokon	给…打电话
dormĉambro	卧室
dormema	想睡
dormi	睡觉
dormo	睡眠
dorno	刺
dorso	背部，背
dosiero	档案
dosierujo	文件夹
drako	龙
dramo	剧情片
dramserio	连续剧
drataro	配线，布线，接线
drato	电线
dratprovizado	配线，布线，接线
drattondilo	线材剪切机，线剪
drinkejo	酒吧
drinkemulo	酒鬼
drinki	喝酒
drinki alkoholon	喝酒
drinkulo	酒鬼
drogaĉoj	毒
drogemulo	毒虫
drogoj	毒
drogvendisto	毒贩，毒品贩子
droni	溺水
du	二，两
du mil	兩千
du miliardo	二十亿
du miliono	两百万
du minutoj	两分钟
dua	第二
dua persono	第二人秤
dubi	怀疑
ducent	二百，兩百
ducent mil	二十万
ducent miliono	两亿
dudek	廿，二十
dudek du	廿二，二十二
